chr1	1	21973
chr1	15308887	15310259
chr1	24949873	24950558
chr1	25748232	25759501
chr1	25952298	25952983
chr1	56129588	56130960
chr1	95103543	95103883
chr1	100578336	100598721
chr1	132798185	132799557
chr1	153018289	153021135
chr1	157548874	157549510
chr1	163986791	163987144
chr1	192524955	192526228
chr1	195409377	195410084
chr1	197784645	197784814
chr1	208533421	208577366
chr1	237337438	237348423
chr1	249539874	249540534
chr1	253947601	253947770
chr1	284286496	284289241
chr1	287793453	287796198
chr10	1942911	1943539
chr10	2990541	2991218
chr10	48327865	48341353
chr10	65547631	65547944
chr10	74549186	74549872
chr10	76729790	76730128
chr10	83907207	83907918
chr10	102215096	102225894
chr10	145080441	145080790
chr10	150808532	150813568
chr2	749625	751793
chr2	67251896	67260857
chr2	67264786	67265339
chr2	73449300	73450305
chr2	80230874	80325973
chr2	93395760	93395995
chr2	98196193	98230909
chr2	123100156	123101233
chr2	149281258	149281760
chr2	166367983	166368233
chr2	176546785	178562505
chr2	178578900	178590807
chr2	193305126	193306209
chr2	206696115	206697060
chr2	209797995	209798245
chr3	4830563	4830826
chr3	18818674	18819207
chr3	23692923	23695036
chr3	27497414	27539418
chr3	29486178	29490457
chr3	56699839	56700370
chr3	75304332	75308569
chr3	81845880	81850150
chr3	100736483	100737011
chr3	110514972	110519496
chr3	111338269	111338541
chr3	119575805	119576897
chr3	140829139	140829600
chr3	154125178	154129531
chr3	216267966	216268228
chr3	217209912	217212030
chr3	220743355	220743599
chr4	38188756	38189048
chr4	66523230	66524379
chr4	72221734	72222011
chr4	88320101	88320667
chr4	90410761	90414650
chr4	92940858	92941974
chr4	95876520	95876797
chr4	113742341	113744569
chr4	116352444	116388108
chr4	116417796	116459790
chr4	117732894	117733410
chr4	145334749	145335026
chr4	159062394	159062968
chr4	162040731	162080110
chr4	183992874	183997539
chr4	187236467	187237040
chr4	211530133	211548522
chr4	213347235	213349463
chr4	220157838	220158114
chr4	226894004	226895117
chr4	239454923	239455209
chr5	9701493	9702572
chr5	10317155	10319169
chr5	25867206	25867708
chr5	40682219	40683225
chr5	48172663	48172771
chr5	55334855	55343103
chr5	67103851	67104857
chr5	67104858	67104884
chr5	108854899	108855023
chr5	144760893	144889889
chr5	150524619	150525085
chr5	154759995	154760244
chr5	168450139	168450389
chr5	187188681	187189687
chr5	193277384	193279398
chr5	200487607	200779697
chr5	201197056	201197180
chr5	202389914	202390038
chr5	202391099	202391348
chr5	218306566	218407222
chr5	218683463	218685477
chr6	541560	541964
chr6	9920576	9921050
chr6	16929613	16932944
chr6	17156357	17156556
chr6	52477401	52478207
chr6	60199047	60205698
chr6	60707495	60720413
chr6	60978477	60980090
chr6	61999897	62000270
chr6	64377921	64378336
chr6	78191155	78191557
chr6	90308949	90321867
chr6	126294138	126307065
chr6	136817929	136818329
chr6	153146035	153146386
chr6	169301602	169301813
chr6	170428486	170428905
chr6	180783736	180784542
chr7	38440859	38447476
chr7	39743296	39744122
chr7	45879309	45879513
chr7	45880189	45881723
chr7	45887022	45887432
chr7	48557003	48557182
chr7	80418937	80420471
chr7	106764167	106764601
chr7	127645537	127648845
chr7	157397279	157397691
chr7	157496365	157594608
chr7	157855271	157855475
chr7	158320850	158373503
chr7	158827719	158827909
chr7	158834058	158834159
chr7	159016782	159029061
chr7	179219011	179219863
chr8	4105013	4105431
chr8	20297122	20297324
chr8	38525306	38525711
chr8	90123895	90124300
chr8	150924966	150925822
chr8	160772557	160979859
chr8	161594519	161594719
chr8	163567468	163570818
chr8	175626915	175627320
chr9	1	172373
chr9	3412051	3412424
chr9	5226768	5227492
chr9	30885042	30885403
chr9	36773496	36774946
chr9	63200271	63200995
chr9	64078911	64172970
chr9	71619863	71622748
chr9	77176102	77361891
chr9	77603399	77974979
chr9	78155873	78179095
chr9	86516190	86516370
chr9	92500720	92524524
chr9	103797696	103798443
chr9	131006675	131007034
chr9	137706836	137708181
